cge:100769457	CDS	1	Ankrd23; ankyrin repeat domain-containing protein 23
cge:100769174	CDS	1	Ankrd39; ankyrin repeat domain-containing protein 39 isoform X2
cge:100772518	CDS	1	Cnnm3; LOW QUALITY PROTEIN: metal transporter CNNM3 isoform X2
cge:100772810	CDS	1	Cnnm4; metal transporter CNNM4 isoform X2
cge:100770226	CDS	1	Kansl3; KAT8 regulatory NSL complex subunit 3 isoform X1
cge:100769742	CDS	1	Lman2l; VIP36-like protein isoform X1
cge:100773678	CDS	1	Arid5a; AT-rich interactive domain-containing protein 5A isoform X1
cge:100773968	CDS	1	Uggt1; UDP-glucose:glycoprotein glucosyltransferase 1 isoform X2
cge:107979073	CDS	1	60S ribosomal protein L36a-like isoform X2
cge:100689173	CDS	1	Hs6st1; heparan-sulfate 6-O-sulfotransferase 1 isoform X2
cge:100770793	CDS	1	Plekhb2; pleckstrin homology domain-containing family B member 2 isoform X1
cge:100774841	CDS	1	Arhgef4; rho guanine nucleotide exchange factor 4 isoform X1
cge:100771076	CDS	1	Fam168b; myelin-associated neurite-outgrowth inhibitor isoform X1
cge:100750361	CDS	1	Amer3; APC membrane recruitment protein 3
cge:100756508	CDS	1	cryptic protein
cge:100773051	CDS	1	Ptpn18; tyrosine-protein phosphatase non-receptor type 18 isoform X1
cge:100773345	CDS	1	Imp4; U3 small nucleolar ribonucleoprotein protein IMP4
cge:100773635	CDS	1	Ccdc115; coiled-coil domain-containing protein 115
cge:100773919	CDS	1	Dst; dystonin isoform X12
cge:100774404	CDS	1	Bend6; BEN domain-containing protein 6 isoform X1
cge:100750506	CDS	1	Znf451; E3 SUMO-protein ligase ZNF451 isoform X2
cge:100750795	CDS	1	Bag2; BAG family molecular chaperone regulator 2 isoform X2
cge:100769505	CDS	1	protocadherin-7 isoform X1
cge:100760300	CDS	1	Stim2; LOW QUALITY PROTEIN: stromal interaction molecule 2 isoform X3
cge:100765477	CDS	1	Tbc1d19; TBC1 domain family member 19 isoform X4
cge:100774337	CDS	1	thymosin beta-4
cge:100774917	CDS	1	Cckar; cholecystokinin receptor type A
cge:100774626	CDS	1	Rbpj; recombining binding protein suppressor of hairless isoform X1
cge:100759760	CDS	1	Sel1l3; protein sel-1 homolog 3 isoform X2
cge:100772426	CDS	1	Smim20; small integral membrane protein 20
cge:100767504	CDS	1	Anapc4; anaphase-promoting complex subunit 4 isoform X1
cge:100768868	CDS	1	Zcchc4; rRNA N6-adenosine-methyltransferase ZCCHC4 isoform X2
cge:100768572	CDS	1	Pi4k2b; phosphatidylinositol 4-kinase type 2-beta isoform X3
